horizon_months,step,date,forecast
1,1,2025-10,270.8251087619834
2,1,2025-10,270.8251087619834
2,2,2025-11,269.7593589921848
3,1,2025-10,270.8251087619834
3,2,2025-11,269.7593589921848
3,3,2025-12,269.06376914187393
4,1,2025-10,270.8251087619834
4,2,2025-11,269.7593589921848
4,3,2025-12,269.06376914187393
4,4,2026-01,268.60977397943833
5,1,2025-10,270.8251087619834
5,2,2025-11,269.7593589921848
5,3,2025-12,269.06376914187393
5,4,2026-01,268.60977397943833
5,5,2026-02,268.3134619969923
6,1,2025-10,270.8251087619834
6,2,2025-11,269.7593589921848
6,3,2025-12,269.06376914187393
6,4,2026-01,268.60977397943833
6,5,2026-02,268.3134619969923
6,6,2026-03,268.1200661236309
7,1,2025-10,270.8251087619834
7,2,2025-11,269.7593589921848
7,3,2025-12,269.06376914187393
7,4,2026-01,268.60977397943833
7,5,2026-02,268.3134619969923
7,6,2026-03,268.1200661236309
7,7,2026-04,267.99384117813776
8,1,2025-10,270.8251087619834
8,2,2025-11,269.7593589921848
8,3,2025-12,269.06376914187393
8,4,2026-01,268.60977397943833
8,5,2026-02,268.3134619969923
8,6,2026-03,268.1200661236309
8,7,2026-04,267.99384117813776
8,8,2026-05,267.91145712005095
9,1,2025-10,270.8251087619834
9,2,2025-11,269.7593589921848
9,3,2025-12,269.06376914187393
9,4,2026-01,268.60977397943833
9,5,2026-02,268.3134619969923
9,6,2026-03,268.1200661236309
9,7,2026-04,267.99384117813776
9,8,2026-05,267.91145712005095
9,9,2026-06,267.85768697976425
10,1,2025-10,270.8251087619834
10,2,2025-11,269.7593589921848
10,3,2025-12,269.06376914187393
10,4,2026-01,268.60977397943833
10,5,2026-02,268.3134619969923
10,6,2026-03,268.1200661236309
10,7,2026-04,267.99384117813776
10,8,2026-05,267.91145712005095
10,9,2026-06,267.85768697976425
10,10,2026-07,267.8225924717539
11,1,2025-10,270.8251087619834
11,2,2025-11,269.7593589921848
11,3,2025-12,269.06376914187393
11,4,2026-01,268.60977397943833
11,5,2026-02,268.3134619969923
11,6,2026-03,268.1200661236309
11,7,2026-04,267.99384117813776
11,8,2026-05,267.91145712005095
11,9,2026-06,267.85768697976425
11,10,2026-07,267.8225924717539
11,11,2026-08,267.79968711041545
12,1,2025-10,270.8251087619834
12,2,2025-11,269.7593589921848
12,3,2025-12,269.06376914187393
12,4,2026-01,268.60977397943833
12,5,2026-02,268.3134619969923
12,6,2026-03,268.1200661236309
12,7,2026-04,267.99384117813776
12,8,2026-05,267.91145712005095
12,9,2026-06,267.85768697976425
12,10,2026-07,267.8225924717539
12,11,2026-08,267.79968711041545
12,12,2026-09,267.7847373189013
13,1,2025-10,270.8251087619834
13,2,2025-11,269.7593589921848
13,3,2025-12,269.06376914187393
13,4,2026-01,268.60977397943833
13,5,2026-02,268.3134619969923
13,6,2026-03,268.1200661236309
13,7,2026-04,267.99384117813776
13,8,2026-05,267.91145712005095
13,9,2026-06,267.85768697976425
13,10,2026-07,267.8225924717539
13,11,2026-08,267.79968711041545
13,12,2026-09,267.7847373189013
13,13,2026-10,267.77497994101
14,1,2025-10,270.8251087619834
14,2,2025-11,269.7593589921848
14,3,2025-12,269.06376914187393
14,4,2026-01,268.60977397943833
14,5,2026-02,268.3134619969923
14,6,2026-03,268.1200661236309
14,7,2026-04,267.99384117813776
14,8,2026-05,267.91145712005095
14,9,2026-06,267.85768697976425
14,10,2026-07,267.8225924717539
14,11,2026-08,267.79968711041545
14,12,2026-09,267.7847373189013
14,13,2026-10,267.77497994101
14,14,2026-11,267.76861152956934
15,1,2025-10,270.8251087619834
15,2,2025-11,269.7593589921848
15,3,2025-12,269.06376914187393
15,4,2026-01,268.60977397943833
15,5,2026-02,268.3134619969923
15,6,2026-03,268.1200661236309
15,7,2026-04,267.99384117813776
15,8,2026-05,267.91145712005095
15,9,2026-06,267.85768697976425
15,10,2026-07,267.8225924717539
15,11,2026-08,267.79968711041545
15,12,2026-09,267.7847373189013
15,13,2026-10,267.77497994101
15,14,2026-11,267.76861152956934
15,15,2026-12,267.7644550169561
16,1,2025-10,270.8251087619834
16,2,2025-11,269.7593589921848
16,3,2025-12,269.06376914187393
16,4,2026-01,268.60977397943833
16,5,2026-02,268.3134619969923
16,6,2026-03,268.1200661236309
16,7,2026-04,267.99384117813776
16,8,2026-05,267.91145712005095
16,9,2026-06,267.85768697976425
16,10,2026-07,267.8225924717539
16,11,2026-08,267.79968711041545
16,12,2026-09,267.7847373189013
16,13,2026-10,267.77497994101
16,14,2026-11,267.76861152956934
16,15,2026-12,267.7644550169561
16,16,2027-01,267.76174215877086
17,1,2025-10,270.8251087619834
17,2,2025-11,269.7593589921848
17,3,2025-12,269.06376914187393
17,4,2026-01,268.60977397943833
17,5,2026-02,268.3134619969923
17,6,2026-03,268.1200661236309
17,7,2026-04,267.99384117813776
17,8,2026-05,267.91145712005095
17,9,2026-06,267.85768697976425
17,10,2026-07,267.8225924717539
17,11,2026-08,267.79968711041545
17,12,2026-09,267.7847373189013
17,13,2026-10,267.77497994101
17,14,2026-11,267.76861152956934
17,15,2026-12,267.7644550169561
17,16,2027-01,267.76174215877086
17,17,2027-02,267.75997153993285
18,1,2025-10,270.8251087619834
18,2,2025-11,269.7593589921848
18,3,2025-12,269.06376914187393
18,4,2026-01,268.60977397943833
18,5,2026-02,268.3134619969923
18,6,2026-03,268.1200661236309
18,7,2026-04,267.99384117813776
18,8,2026-05,267.91145712005095
18,9,2026-06,267.85768697976425
18,10,2026-07,267.8225924717539
18,11,2026-08,267.79968711041545
18,12,2026-09,267.7847373189013
18,13,2026-10,267.77497994101
18,14,2026-11,267.76861152956934
18,15,2026-12,267.7644550169561
18,16,2027-01,267.76174215877086
18,17,2027-02,267.75997153993285
18,18,2027-03,267.75881589859245
19,1,2025-10,270.8251087619834
19,2,2025-11,269.7593589921848
19,3,2025-12,269.06376914187393
19,4,2026-01,268.60977397943833
19,5,2026-02,268.3134619969923
19,6,2026-03,268.1200661236309
19,7,2026-04,267.99384117813776
19,8,2026-05,267.91145712005095
19,9,2026-06,267.85768697976425
19,10,2026-07,267.8225924717539
19,11,2026-08,267.79968711041545
19,12,2026-09,267.7847373189013
19,13,2026-10,267.77497994101
19,14,2026-11,267.76861152956934
19,15,2026-12,267.7644550169561
19,16,2027-01,267.76174215877086
19,17,2027-02,267.75997153993285
19,18,2027-03,267.75881589859245
19,19,2027-04,267.7580616386247
20,1,2025-10,270.8251087619834
20,2,2025-11,269.7593589921848
20,3,2025-12,269.06376914187393
20,4,2026-01,268.60977397943833
20,5,2026-02,268.3134619969923
20,6,2026-03,268.1200661236309
20,7,2026-04,267.99384117813776
20,8,2026-05,267.91145712005095
20,9,2026-06,267.85768697976425
20,10,2026-07,267.8225924717539
20,11,2026-08,267.79968711041545
20,12,2026-09,267.7847373189013
20,13,2026-10,267.77497994101
20,14,2026-11,267.76861152956934
20,15,2026-12,267.7644550169561
20,16,2027-01,267.76174215877086
20,17,2027-02,267.75997153993285
20,18,2027-03,267.75881589859245
20,19,2027-04,267.7580616386247
20,20,2027-05,267.7575693508543
21,1,2025-10,270.8251087619834
21,2,2025-11,269.7593589921848
21,3,2025-12,269.06376914187393
21,4,2026-01,268.60977397943833
21,5,2026-02,268.3134619969923
21,6,2026-03,268.1200661236309
21,7,2026-04,267.99384117813776
21,8,2026-05,267.91145712005095
21,9,2026-06,267.85768697976425
21,10,2026-07,267.8225924717539
21,11,2026-08,267.79968711041545
21,12,2026-09,267.7847373189013
21,13,2026-10,267.77497994101
21,14,2026-11,267.76861152956934
21,15,2026-12,267.7644550169561
21,16,2027-01,267.76174215877086
21,17,2027-02,267.75997153993285
21,18,2027-03,267.75881589859245
21,19,2027-04,267.7580616386247
21,20,2027-05,267.7575693508543
21,21,2027-06,267.75724804618574
22,1,2025-10,270.8251087619834
22,2,2025-11,269.7593589921848
22,3,2025-12,269.06376914187393
22,4,2026-01,268.60977397943833
22,5,2026-02,268.3134619969923
22,6,2026-03,268.1200661236309
22,7,2026-04,267.99384117813776
22,8,2026-05,267.91145712005095
22,9,2026-06,267.85768697976425
22,10,2026-07,267.8225924717539
22,11,2026-08,267.79968711041545
22,12,2026-09,267.7847373189013
