horizon_months,step,date,forecast
1,1,2025-10,271.09848
2,1,2025-10,271.09848
2,2,2025-11,267.16913
3,1,2025-10,271.09848
3,2,2025-11,267.16913
3,3,2025-12,262.684
4,1,2025-10,271.09848
4,2,2025-11,267.16913
4,3,2025-12,262.684
4,4,2026-01,258.08926
5,1,2025-10,271.09848
5,2,2025-11,267.16913
5,3,2025-12,262.684
5,4,2026-01,258.08926
5,5,2026-02,253.76257
6,1,2025-10,271.09848
6,2,2025-11,267.16913
6,3,2025-12,262.684
6,4,2026-01,258.08926
6,5,2026-02,253.76257
6,6,2026-03,249.80424
7,1,2025-10,271.09848
7,2,2025-11,267.16913
7,3,2025-12,262.684
7,4,2026-01,258.08926
7,5,2026-02,253.76257
7,6,2026-03,249.80424
7,7,2026-04,246.37532
8,1,2025-10,271.09848
8,2,2025-11,267.16913
8,3,2025-12,262.684
8,4,2026-01,258.08926
8,5,2026-02,253.76257
8,6,2026-03,249.80424
8,7,2026-04,246.37532
8,8,2026-05,243.4646
9,1,2025-10,271.09848
9,2,2025-11,267.16913
9,3,2025-12,262.684
9,4,2026-01,258.08926
9,5,2026-02,253.76257
9,6,2026-03,249.80424
9,7,2026-04,246.37532
9,8,2026-05,243.4646
9,9,2026-06,241.12231
10,1,2025-10,271.09848
10,2,2025-11,267.16913
10,3,2025-12,262.684
10,4,2026-01,258.08926
10,5,2026-02,253.76257
10,6,2026-03,249.80424
10,7,2026-04,246.37532
10,8,2026-05,243.4646
10,9,2026-06,241.12231
10,10,2026-07,239.15497
11,1,2025-10,271.09848
11,2,2025-11,267.16913
11,3,2025-12,262.684
11,4,2026-01,258.08926
11,5,2026-02,253.76257
11,6,2026-03,249.80424
11,7,2026-04,246.37532
11,8,2026-05,243.4646
11,9,2026-06,241.12231
11,10,2026-07,239.15497
11,11,2026-08,237.47983
12,1,2025-10,271.09848
12,2,2025-11,267.16913
12,3,2025-12,262.684
12,4,2026-01,258.08926
12,5,2026-02,253.76257
12,6,2026-03,249.80424
12,7,2026-04,246.37532
12,8,2026-05,243.4646
12,9,2026-06,241.12231
12,10,2026-07,239.15497
12,11,2026-08,237.47983
12,12,2026-09,236.09233
