date,fitted
1982-06,
1982-07,100.0
1982-08,99.4
1982-09,99.0
1982-10,98.9
1982-11,99.0
1982-12,97.6
1983-01,95.9
1983-02,95.8
1983-03,98.0
1983-04,97.6
1983-05,97.3
1983-06,97.5
1983-07,97.6
1983-08,98.5
1983-09,98.8
1983-10,99.0
1983-11,99.2
1983-12,99.0
1984-01,99.2
1984-02,99.2
1984-03,99.8
1984-04,99.8
1984-05,99.5
1984-06,99.6
1984-07,100.2
1984-08,102.3
1984-09,102.4
1984-10,102.2
1984-11,101.8
1984-12,101.2
1985-01,101.2
1985-02,101.2
1985-03,101.2
1985-04,101.1
1985-05,101.0
1985-06,101.0
1985-07,101.1
1985-08,101.1
1985-09,101.1
1985-10,101.2
1985-11,101.2
1985-12,101.2
1986-01,101.2
1986-02,93.8
1986-03,93.0
1986-04,93.1
1986-05,93.2
1986-06,93.5
1986-07,93.2
1986-08,93.2
1986-09,93.1
1986-10,94.2
1986-11,94.2
1986-12,94.1
1987-01,93.8
1987-02,93.9
1987-03,93.9
1987-04,93.8
1987-05,94.6
1987-06,94.7
1987-07,94.3
1987-08,95.8
1987-09,95.9
1987-10,96.6
1987-11,99.4
1987-12,100.6
1988-01,101.2
1988-02,104.8
1988-03,105.2
1988-04,105.9
1988-05,108.6
1988-06,109.3
1988-07,109.7
1988-08,110.4
1988-09,110.6
1988-10,111.0
1988-11,111.3
1988-12,111.1
1989-01,111.1
1989-02,111.5
1989-03,111.8
1989-04,112.0
1989-05,112.1
1989-06,111.6
1989-07,111.4
1989-08,111.1
1989-09,110.4
1989-10,110.2
1989-11,110.1
1989-12,109.6
1990-01,108.8
1990-02,106.0
1990-03,104.9
1990-04,104.6
1990-05,104.8
1990-06,105.5
1990-07,105.2
1990-08,105.9
1990-09,105.3
1990-10,104.9
1990-11,104.4
1990-12,104.8
1991-01,104.3
1991-02,104.0
1991-03,103.4
1991-04,102.6
1991-05,101.6
1991-06,101.0
1991-07,101.6
1991-08,101.3
1991-09,100.3
1991-10,100.5
1991-11,100.4
1991-12,100.6
1992-01,100.1
1992-02,99.1
1992-03,99.1
1992-04,98.8
1992-05,99.1
1992-06,98.5
1992-07,98.8
1992-08,98.3
1992-09,98.8
1992-10,98.6
1992-11,97.9
1992-12,98.2
1993-01,98.5
1993-02,99.1
1993-03,99.7
1993-04,100.3
1993-05,101.3
1993-06,101.3
1993-07,101.4
1993-08,102.4
1993-09,102.8
1993-10,102.6
1993-11,103.3
1993-12,103.4
1994-01,104.9
1994-02,105.2
1994-03,106.4
1994-04,106.5
1994-05,107.2
1994-06,107.9
1994-07,107.8
1994-08,108.4
1994-09,108.8
1994-10,109.6
1994-11,109.6
1994-12,109.7
1995-01,109.7
1995-02,111.9
1995-03,113.5
1995-04,114.6
1995-05,115.2
1995-06,115.4
1995-07,115.1
1995-08,114.9
1995-09,116.1
1995-10,115.2
1995-11,113.9
1995-12,114.2
1996-01,113.3
1996-02,112.7
1996-03,112.0
1996-04,111.2
1996-05,111.8
1996-06,112.7
1996-07,113.3
1996-08,113.2
1996-09,113.2
1996-10,113.3
1996-11,112.9
1996-12,112.4
1997-01,111.8
1997-02,111.5
1997-03,111.7
1997-04,111.6
1997-05,112.3
1997-06,111.1
1997-07,111.1
1997-08,112.1
1997-09,111.8
1997-10,112.8
1997-11,112.8
1997-12,113.2
1998-01,113.2
1998-02,113.2
1998-03,113.1
1998-04,112.9
1998-05,113.5
1998-06,113.7
1998-07,113.7
1998-08,113.5
1998-09,113.1
1998-10,111.7
1998-11,110.9
1998-12,107.3
1999-01,105.2
1999-02,102.1
1999-03,100.4
1999-04,99.9
1999-05,99.2
1999-06,98.8
1999-07,99.3
1999-08,99.0
1999-09,98.9
1999-10,98.4
1999-11,97.5
1999-12,98.0
2000-01,97.9
2000-02,99.1
2000-03,99.4
2000-04,101.3
2000-05,102.1
2000-06,102.9
2000-07,101.9
2000-08,101.9
2000-09,101.0
2000-10,100.5
2000-11,99.9
2000-12,98.8
2001-01,97.7
2001-02,96.4
2001-03,95.6
2001-04,96.1
2001-05,95.0
