horizon_months,step,date,forecast
1,1,2025-10,272.458
2,1,2025-10,272.458
2,2,2025-11,272.458
3,1,2025-10,272.458
3,2,2025-11,272.458
3,3,2025-12,272.458
4,1,2025-10,272.458
4,2,2025-11,272.458
4,3,2025-12,272.458
4,4,2026-01,272.458
5,1,2025-10,272.458
5,2,2025-11,272.458
5,3,2025-12,272.458
5,4,2026-01,272.458
5,5,2026-02,272.458
6,1,2025-10,272.458
6,2,2025-11,272.458
6,3,2025-12,272.458
6,4,2026-01,272.458
6,5,2026-02,272.458
6,6,2026-03,272.458
7,1,2025-10,272.458
7,2,2025-11,272.458
7,3,2025-12,272.458
7,4,2026-01,272.458
7,5,2026-02,272.458
7,6,2026-03,272.458
7,7,2026-04,272.458
8,1,2025-10,272.458
8,2,2025-11,272.458
8,3,2025-12,272.458
8,4,2026-01,272.458
8,5,2026-02,272.458
8,6,2026-03,272.458
8,7,2026-04,272.458
8,8,2026-05,272.458
9,1,2025-10,272.458
9,2,2025-11,272.458
9,3,2025-12,272.458
9,4,2026-01,272.458
9,5,2026-02,272.458
9,6,2026-03,272.458
9,7,2026-04,272.458
9,8,2026-05,272.458
9,9,2026-06,272.458
10,1,2025-10,272.458
10,2,2025-11,272.458
10,3,2025-12,272.458
10,4,2026-01,272.458
10,5,2026-02,272.458
10,6,2026-03,272.458
10,7,2026-04,272.458
10,8,2026-05,272.458
10,9,2026-06,272.458
10,10,2026-07,272.458
11,1,2025-10,272.458
11,2,2025-11,272.458
11,3,2025-12,272.458
11,4,2026-01,272.458
11,5,2026-02,272.458
11,6,2026-03,272.458
11,7,2026-04,272.458
11,8,2026-05,272.458
11,9,2026-06,272.458
11,10,2026-07,272.458
11,11,2026-08,272.458
12,1,2025-10,272.458
12,2,2025-11,272.458
12,3,2025-12,272.458
12,4,2026-01,272.458
12,5,2026-02,272.458
12,6,2026-03,272.458
12,7,2026-04,272.458
12,8,2026-05,272.458
12,9,2026-06,272.458
12,10,2026-07,272.458
12,11,2026-08,272.458
