horizon_months,step,date,forecast
1,1,2025-10,298.1723678484726
2,1,2025-10,298.1723678484726
2,2,2025-11,297.1429428486286
3,1,2025-10,298.1723678484726
3,2,2025-11,297.1429428486286
3,3,2025-12,297.0725930299569
4,1,2025-10,298.1723678484726
4,2,2025-11,297.1429428486286
4,3,2025-12,297.0725930299569
4,4,2026-01,298.7340838648992
5,1,2025-10,298.1723678484726
5,2,2025-11,297.1429428486286
5,3,2025-12,297.0725930299569
5,4,2026-01,298.7340838648992
5,5,2026-02,300.65357517622215
6,1,2025-10,298.1723678484726
6,2,2025-11,297.1429428486286
6,3,2025-12,297.0725930299569
6,4,2026-01,298.7340838648992
6,5,2026-02,300.65357517622215
6,6,2026-03,301.88653735597086
7,1,2025-10,298.1723678484726
7,2,2025-11,297.1429428486286
7,3,2025-12,297.0725930299569
7,4,2026-01,298.7340838648992
7,5,2026-02,300.65357517622215
7,6,2026-03,301.88653735597086
7,7,2026-04,304.0892020255836
8,1,2025-10,298.1723678484726
8,2,2025-11,297.1429428486286
8,3,2025-12,297.0725930299569
8,4,2026-01,298.7340838648992
8,5,2026-02,300.65357517622215
8,6,2026-03,301.88653735597086
8,7,2026-04,304.0892020255836
8,8,2026-05,306.35938819055866
9,1,2025-10,298.1723678484726
9,2,2025-11,297.1429428486286
9,3,2025-12,297.0725930299569
9,4,2026-01,298.7340838648992
9,5,2026-02,300.65357517622215
9,6,2026-03,301.88653735597086
9,7,2026-04,304.0892020255836
9,8,2026-05,306.35938819055866
9,9,2026-06,307.60579029101604
10,1,2025-10,298.1723678484726
10,2,2025-11,297.1429428486286
10,3,2025-12,297.0725930299569
10,4,2026-01,298.7340838648992
10,5,2026-02,300.65357517622215
10,6,2026-03,301.88653735597086
10,7,2026-04,304.0892020255836
10,8,2026-05,306.35938819055866
10,9,2026-06,307.60579029101604
10,10,2026-07,308.31622943283804
11,1,2025-10,298.1723678484726
11,2,2025-11,297.1429428486286
11,3,2025-12,297.0725930299569
11,4,2026-01,298.7340838648992
11,5,2026-02,300.65357517622215
11,6,2026-03,301.88653735597086
11,7,2026-04,304.0892020255836
11,8,2026-05,306.35938819055866
11,9,2026-06,307.60579029101604
11,10,2026-07,308.31622943283804
11,11,2026-08,309.3999751326695
12,1,2025-10,298.1723678484726
12,2,2025-11,297.1429428486286
12,3,2025-12,297.0725930299569
12,4,2026-01,298.7340838648992
12,5,2026-02,300.65357517622215
12,6,2026-03,301.88653735597086
12,7,2026-04,304.0892020255836
12,8,2026-05,306.35938819055866
12,9,2026-06,307.60579029101604
12,10,2026-07,308.31622943283804
12,11,2026-08,309.3999751326695
12,12,2026-09,309.6185913392328
13,1,2025-10,298.1723678484726
13,2,2025-11,297.1429428486286
13,3,2025-12,297.0725930299569
13,4,2026-01,298.7340838648992
13,5,2026-02,300.65357517622215
13,6,2026-03,301.88653735597086
13,7,2026-04,304.0892020255836
13,8,2026-05,306.35938819055866
13,9,2026-06,307.60579029101604
13,10,2026-07,308.31622943283804
13,11,2026-08,309.3999751326695
13,12,2026-09,309.6185913392328
13,13,2026-10,310.32825181662304
14,1,2025-10,298.1723678484726
14,2,2025-11,297.1429428486286
14,3,2025-12,297.0725930299569
14,4,2026-01,298.7340838648992
14,5,2026-02,300.65357517622215
14,6,2026-03,301.88653735597086
14,7,2026-04,304.0892020255836
14,8,2026-05,306.35938819055866
14,9,2026-06,307.60579029101604
14,10,2026-07,308.31622943283804
14,11,2026-08,309.3999751326695
14,12,2026-09,309.6185913392328
14,13,2026-10,310.32825181662304
14,14,2026-11,309.6856594834136
15,1,2025-10,298.1723678484726
15,2,2025-11,297.1429428486286
15,3,2025-12,297.0725930299569
15,4,2026-01,298.7340838648992
15,5,2026-02,300.65357517622215
15,6,2026-03,301.88653735597086
15,7,2026-04,304.0892020255836
15,8,2026-05,306.35938819055866
15,9,2026-06,307.60579029101604
